Freq,CH1_InVpp,CH2_OutVpp
104.6,4.48,0.52
211.1,4.48,0.54
301.2,4.48,0.58
400.6,4.48,0.59
502.5,4.48,0.60
594.5,4.48,0.61
706.2,4.48,0.66
803.9,4.48,0.72
905.8,4.48,0.76
1021,4.48,0.81
1096,4.48,0.84
1193,4.48,0.90
1309,4.48,1.02
1403,4.48,1.06
1506,4.48,1.14
1608,4.48,1.22
1728,4.48,1.30
1815,4.48,1.36
1908,4.48,1.42
2005,4.48,1.54
2128,4.48,1.58
2304,4.48,1.74
2551,4.48,1.86
3021,4.48,2.20
3322,4.48,2.41
3742,4.48,2.56
4202,4.48,2.72
4807,4.48,2.80
6009,4.48,2.84
